Rank,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
723,2010,102,6,190385,162,30
724,2016,89,5.1,26088,20.75,47
725,2010,140,6.2,127983,176.59,61
726,2012,113,6.2,209326,79.71,55
727,2011,109,6.6,286543,55.8,63
728,2006,110,7.6,309934,39.83,68
729,2010,117,6.8,219116,77.21,47
730,2014,100,6.7,71069,0.32,76
731,2013,119,6.3,166342,44.67,42
732,2011,104,7,201707,37.37,57
733,2016,100,6.9,688,,51
734,2006,149,6.6,338280,217.54,46
735,2016,104,7.7,16163,0.69,37
736,2011,126,7.5,259182,73.82,83
737,2015,93,5.6,4155,0.02,68
738,2008,128,7.1,182305,39.38,57
739,2015,118,5.7,17439,0.56,53
740,2008,112,5.2,124554,102.18,31
741,2016,99,5.4,29642,63.03,40
742,2016,111,6.6,8998,4.71,54
743,2009,129,8.2,144524,20.17,80
744,2010,110,7.6,254904,171.03,80
745,2015,96,6.2,25903,3.59,46
746,2014,116,6.1,144779,42.62,44
747,2016,86,4.6,313,,60
748,2016,127,5.7,3731,3.65,
749,2016,99,6.1,30035,34.9,65
750,2013,106,5.9,91684,68.56,39
751,2007,113,7.2,148943,39,68
752,2013,104,6.5,92875,27.69,61
753,2008,107,7.9,322536,7.76,67
754,2012,103,6.3,154400,54.76,31
755,2016,106,5,353,,64
756,2009,111,7.3,187302,0.06,
757,2016,92,5.2,2083,,46
758,2016,87,6.6,256,,36
759,2011,113,5.2,84893,21.27,
760,2010,116,7.8,290056,93.57,79
761,2007,114,7.5,91229,31.66,38
762,2014,114,7.3,151970,31.24,68
763,2015,102,7.3,57826,18.7,73
764,2008,118,6.6,156158,101.11,43
765,2013,85,5.7,154588,64.42,41
766,2014,153,8.2,103279,10.57,51
767,2013,114,6.7,194236,61.66,
768,2008,122,6.2,351361,317.01,65
769,2015,109,6.3,72515,31.99,56
770,2015,119,5.7,25928,0.34,65
771,2008,106,6.6,347798,168.37,58
772,2016,95,4.5,2043,,34
773,2010,98,8.1,523893,217.39,74
774,2006,110,5.6,82701,42.27,36
775,2006,96,7.3,199193,10.14,51
776,2011,106,6.2,110490,191.45,57
777,2016,102,5.1,10871,0.78,35
778,2015,90,4.7,9026,,56
779,2016,90,4.8,499,,
780,2015,108,7.2,29912,3.86,
781,2011,113,6.9,218679,61.09,56
782,2015,117,6.5,67196,12.28,34
783,2007,120,7.3,128146,28.48,45
784,2016,82,6.5,1031,,77
785,2014,95,6.9,31370,0.04,31
786,2013,134,7.8,346154,107.1,83
787,2016,108,6.8,378,,37
788,2016,92,4.6,11555,3.77,22
789,2015,89,6.7,69157,169.69,44
790,2008,92,6.4,366138,227.95,49
791,2015,118,6,50241,87.03,58
792,2013,111,6.3,92868,36.92,42
793,2008,101,6.6,154936,31.45,56
794,2016,66,7.8,4370,0.29,85
795,2012,102,6.6,129252,18.6,40
796,2011,108,6.2,178243,70.63,50
797,2006,120,7.3,87887,5.48,77
798,2013,98,7.4,304837,368.05,62
799,2014,114,6.5,93883,25.98,57
800,2013,109,7,199813,26,81
801,2016,88,4.3,7091,,23
802,2012,110,7.2,196652,14.99,66
803,2007,115,6.2,146566,82.16,59
804,2014,105,6.2,103681,50.55,57
805,2007,104,6.8,221073,71.98,64
806,2014,111,6,52537,33.63,55
807,2010,116,6.6,233148,90.76,50
808,2013,95,7.1,115751,6.85,82
809,2016,111,6.8,4771,3.9,65
810,2016,128,5.2,4964,,30
811,2015,93,6.7,19309,0.05,60
812,2013,100,6.2,142560,71.59,57
813,2009,123,7,153448,41.57,42
814,2012,112,6.3,72050,16.68,54
815,2009,87,7.8,149779,21,83
816,2006,129,7.6,285441,88.5,76
817,2016,95,5.4,8755,,27
818,2010,94,7.6,294010,18.33,82
819,2014,99,5.4,91106,84.26,37
820,2016,73,4.6,564,,63
821,2014,107,6.9,13711,,
822,2009,123,6.8,130153,7.69,65
823,2009,118,5.8,180105,150.17,32
824,2016,119,7,5855,0.3,72
825,2015,90,5.8,4779,,27
826,2016,88,5.3,1427,,25
827,2016,91,4.6,5715,6.88,
828,2016,108,5.3,1391,,77
829,2007,191,7.6,160350,25.03,
830,2008,87,1.9,77207,14.17,15
831,2006,102,7.2,171356,70.27,63
832,2012,94,6.4,16917,49,54
833,2011,120,7.4,67464,11.23,76
834,2008,112,5.7,62719,70.22,29
835,2012,83,6.4,225394,59.62,58
836,2014,108,6.3,38804,5.98,24
837,2016,128,7.5,5531,0.13,84
838,2008,113,5.5,163144,100.02,54
839,2016,102,4.2,8409,,23
840,2016,115,7.8,346,,60
841,2014,108,6.3,125190,54.41,40
842,2015,125,6.4,15232,1.98,74
843,2011,135,7.1,137117,3.03,80
844,2009,97,7.1,95480,104.37,73
845,2010,98,6.8,157499,81.56,69
846,2012,138,7.3,276347,93.75,76
847,2015,94,6.7,77447,177.34,55
848,2013,131,7.8,77986,0.09,49
849,2016,108,6.3,1066,,64
850,2013,128,7.5,69659,95,62
851,2008,123,6.8,198395,81.16,48
852,2013,104,7.4,111875,16.17,62
853,2013,116,6.8,88829,11.33,63
854,2008,96,7.1,208770,23.21,70
855,2008,92,7.6,329788,215.4,73
856,2016,111,5.9,9993,54.01,67
857,2009,115,6.6,297093,125.32,49
858,2007,123,7.5,55648,36.58,64
859,2006,107,6.4,136642,41.78,52
860,2008,141,7.8,206793,35.71,63
861,2010,113,7.2,119376,19.06,40
862,2016,129,8.4,2421,,80
863,2014,81,6.2,32310,66.95,54
864,2013,85,7.1,100890,1.36,81
865,2016,108,6.3,6175,,41
866,2013,120,6.5,61060,0.16,46
867,2016,110,6.9,7402,3.4,78
868,2015,122,6.9,20907,0.64,67
869,2011,99,6.6,20194,52.69,51
870,2006,126,6.9,270429,133.38,66
871,2015,116,7.7,21569,3.36,70
872,2009,85,2.7,59512,9.35,45
873,2012,93,5.4,64584,44.8,31
874,2011,107,7,113599,13.77,48
875,2010,114,6.6,101301,53.36,39
876,2007,100,7,221858,28.64,78
877,2013,98,6.9,193579,66.36,59
878,2013,98,7.3,160592,33.4,78
879,2013,110,5.8,152145,122.51,41
880,2012,99,5.8,159230,83.64,37
881,2016,120,6.9,8365,1.91,68
882,2013,125,7.5,125693,83.3,65
883,2014,119,6.3,184564,23.01,42
884,2011,96,6.9,173919,143.62,63
885,2015,101,6.1,16361,0.03,43
886,2006,143,7.5,253417,34.3,69
887,2011,139,6.8,143517,13.3,85
888,2012,101,6.5,82874,60.44,39
889,2010,88,5.5,75262,25,53
890,2011,100,7.7,281625,34.96,72
891,2016,104,3.5,202,,59
892,2012,134,6.2,108156,67.52,
893,2011,127,7.1,264480,85.46,56
894,2008,145,5.5,102547,152.64,53
895,2008,92,7.1,187077,42.72,46
896,2007,105,7.1,174553,,55
897,2015,123,7.1,61274,34.53,
898,2006,117,7.9,93036,2.28,64
899,2009,96,6.5,172558,88.92,28
900,2009,89,5.5,83976,58.72,24
901,2015,101,6.5,27730,0.81,64
902,2006,105,5.6,118905,34.01,58
903,2013,98,6.8,55243,3.45,59
904,2014,102,7.9,237565,177,76
905,2014,117,6.2,190833,58.61,52
906,2016,110,6.2,1455,,43
907,2015,95,6.7,12361,14.44,63
908,2007,122,6.9,269581,117.14,62
909,2006,95,6.5,64351,7.77,69
910,2011,106,6.6,187004,75.64,70
911,2015,133,6.4,17565,0.08,72
912,2016,87,4.7,4204,,68
913,2007,96,7.2,117297,82.23,74
914,2013,89,7.2,66265,0.07,65
915,2009,122,6.7,33007,36.84,60
916,2016,156,7.5,17962,0.79,81
917,2012,103,6.6,257395,85.02,51
918,2007,91,6.7,19351,,29
919,2006,147,7.5,199387,2.21,56
920,2007,113,6.1,155078,70.08,51
921,2010,97,6.4,67801,0.12,62
922,2015,93,6.3,31651,3.64,32
923,2009,102,6.4,152808,64.15,48
924,2015,103,6.8,57921,27.29,38
925,2006,154,6.1,246797,200.07,72
926,2011,117,4.9,190244,281.28,45
927,2009,110,7.3,91623,47.54,79
928,2015,110,5.9,7475,0.02,23
929,2016,86,6.1,3843,,86
930,2012,144,7.1,112902,16.38,
931,2011,113,5.9,39380,51.78,58
932,2014,107,6.8,92170,50.46,46
933,2016,97,5.4,924,,52
934,2016,97,6.3,2205,,46
935,2016,120,6.2,4669,0.22,82
936,2006,108,6.6,137502,148.21,66
937,2009,92,4.4,60655,0.18,33
938,2010,96,6.8,64535,0.32,50
939,2016,108,7.3,14689,,83
940,2009,109,7.4,279694,83.81,
941,2008,98,6.1,50255,0.07,58
942,2010,124,4.9,192740,300.52,58
943,2016,86,5.8,1292,,73
944,2011,106,6.1,62095,13.99,35
945,2013,119,6.4,132098,42,49
946,2009,99,6.9,72533,,66
947,2013,132,7.2,93322,116.63,
948,2016,91,5.6,3990,0.03,48
949,2013,100,4.9,166512,60.52,33
950,2016,80,6.1,2417,0.15,69
951,2015,105,7.8,92076,6.74,74
952,2011,115,7.3,211348,82.62,84
953,2010,146,4.3,62403,95.33,27
954,2013,95,7.2,65653,1.29,61
955,2008,105,6.4,173731,36.06,43
956,2014,94,6.2,81823,26.05,36
957,2010,100,5.2,84158,40.17,32
958,2012,109,7.7,192190,40.98,68
959,2014,117,6.2,73567,30.69,40
960,2006,110,7.8,271940,22.49,53
961,2013,101,7,97141,2.32,61
962,2015,101,5.9,10220,0.01,59
963,2008,115,6.7,88260,26.81,50
964,2010,108,6.3,60133,0.09,27
965,2016,104,6.9,280,,72
966,2006,180,7,44227,,
967,2016,122,6.7,1810,,70
968,2015,123,7.3,92378,10.14,
969,2015,83,3.5,1210,,37
970,2013,150,6.5,190855,89.29,
971,2013,92,4.8,37060,34.33,62
972,2007,105,6.9,193491,80.05,
973,2012,123,5.9,64513,38.51,47
974,2011,111,6.2,108544,38.18,52
975,2016,124,7.4,6753,8.81,73
976,2016,94,6,20966,59.57,37
977,2015,113,6.2,31634,,39
978,2016,92,5,2229,,38
979,2016,97,7,10658,,48
980,2011,120,7.6,108772,3.19,70
981,2016,109,7,12048,61.69,44
982,2014,118,5.3,27312,85.91,33
983,2007,133,7.4,95172,24.34,56
984,2014,104,6.5,112729,82.39,30
985,2015,111,6.8,21405,42.65,47
986,2011,102,5.6,87904,21.56,31
987,2011,92,5.9,88000,42.58,50
988,2014,104,6.3,33688,23.39,30
989,2008,99,7.1,63785,,89
990,2014,128,7.5,67637,52.07,
991,2009,92,6.6,129708,45.8,44
992,2007,165,8.5,102697,1.2,42
993,2011,97,6.3,45419,6.92,
994,2010,97,5.9,140900,60.13,37
995,2012,88,6.7,164088,54.72,48
996,2015,111,6.2,27585,,45
997,2007,94,5.5,73152,17.54,46
998,2008,98,6.2,70699,58.01,50
999,2014,93,5.6,4881,,22
1000,2016,87,5.3,12435,19.64,11
